pharmacy_configuration_id,canonical_medication_id,patient_facing_medication_concept,clinical_medication_concept,formulation_id,formulation,route_of_administration,dosage_form,strength_or_concentration,package_size,total_mg,additive_or_base,days_supply_when_supported,pharmacy,pharmacy_sku_or_source_reference,source_categories,formulary_base_price,formulary_patient_pricing_plus_10,formulary_tier_1_minus_10,formulary_tier_2_minus_20,formulary_tier_3_minus_30,telehealth_tier_1_minus_30,telehealth_tier_2_minus_40,telehealth_tier_3_minus_50,native_sku_status
CFG-EP-0072,MED-035,Sermorelin,Sermorelin,FRM-047,troche,oral/transmucosal — OPEN — PHARMACY,troche,400mcg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A73:J73,"IV, Wellness, & Metabolic Therapies - Oral",105.0,115.5,94.5,84,73.5,73.5,63,52.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0073,MED-035,Sermorelin,Sermorelin,FRM-047,troche,oral/transmucosal — OPEN — PHARMACY,troche,600mcg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A74:J74,"IV, Wellness, & Metabolic Therapies - Oral",105.0,115.5,94.5,84,73.5,73.5,63,52.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0074,MED-035,Sermorelin,Sermorelin,FRM-047,troche,oral/transmucosal — OPEN — PHARMACY,troche,800mcg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A75:J75,"IV, Wellness, & Metabolic Therapies - Oral",127.0,139.7,114.3,101.6,88.9,88.9,76.2,63.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0075,MED-005,Bi-mix,Papaverine HCl + phentolamine mesylate,FRM-008,multi-dose injectable solution,injection; site unspecified,multi-dose injectable solution,Custom,5ml,1mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A76:J76,Sexual Health - Injection,125.0,137.5,112.5,100,87.5,87.5,75,62.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0076,MED-009,Tri-mix,Papaverine HCl + phentolamine mesylate + alprostadil,FRM-012,multi-dose injectable solution,injection; site unspecified,multi-dose injectable solution,Custom,5ml,2.5mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A77:J77,Sexual Health - Injection,125.0,137.5,112.5,100,87.5,87.5,75,62.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0077,MED-037,Bremelanotide (PT-141),Bremelanotide (PT-141),FRM-048,nasal spray,nasal,nasal spray,call for info,6ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A78:J78,Sexual Health - Nasal & Oral,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0078,MED-037,Bremelanotide (PT-141),Bremelanotide (PT-141),FRM-049,troche,oral/transmucosal — OPEN — PHARMACY,troche,500mcg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A79:J79,Sexual Health - Nasal & Oral,4.0,4.4,3.6,3.2,2.8,2.8,2.4,2,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0079,MED-037,Bremelanotide (PT-141),Bremelanotide (PT-141),FRM-050,sublingual solution,sublingual,solution,call for info,6ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A80:J80,Sexual Health - Nasal & Oral,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0080,MED-038,Scream Cream,Arginine + sildenafil + theophylline,FRM-051,topical cream,topical,cream,6%/2%/2.5%,20gm,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A85:J85,Sexual Health - Topical,50.0,55,45,40,35,35,30,25,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0081,MED-039,Ketamine,Ketamine,FRM-052,nasal spray,nasal,nasal spray,100mg/ml,5ml,500mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A86:J86,Ketamine Therapy - Nasal,67.0,73.7,60.3,53.6,46.9,46.9,40.2,33.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0082,MED-039,Ketamine,Ketamine,FRM-052,nasal spray,nasal,nasal spray,100mg/ml,10ml,1000mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A87:J87,Ketamine Therapy - Nasal,75.0,82.5,67.5,60,52.5,52.5,45,37.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0083,MED-039,Ketamine,Ketamine,FRM-053,oral capsule,oral,capsule,call for info,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A88:J88,Ketamine Therapy - Oral,1.45,1.595,1.305,1.16,1.015,1.015,0.87,0.725,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0084,MED-039,Ketamine,Ketamine,FRM-054,troche,oral/transmucosal — OPEN — PHARMACY,troche,call for info,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A89:J89,Ketamine Therapy - Oral,1.45,1.595,1.305,1.16,1.015,1.015,0.87,0.725,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0085,MED-040,Ketamine / NAD+ / Oxytocin,Ketamine + NAD+ + oxytocin,FRM-055,troche,oral/transmucosal — OPEN — PHARMACY,troche,100mg/50mg/100iu,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A90:J90,Ketamine Therapy - Oral,4.0,4.4,3.6,3.2,2.8,2.8,2.4,2,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0086,MED-041,Azelaic Acid,Azelaic acid,FRM-056,topical preparation in anhydrous base,topical,topical preparation,15%,50gm,-,anhydrous base,"",Eden Pharmacy,SRC-003:Formulary Pricing!A91:J91,Dermatology - Topical,58.0,63.8,52.2,46.4,40.6,40.6,34.8,29,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0087,MED-041,Azelaic Acid,Azelaic acid,FRM-057,topical preparation; dosage form unspecified,topical,topical preparation,20%,45gm,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A92:J92,Dermatology - Topical,60.0,66,54,48,42,42,36,30,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0088,MED-042,Azelaic Acid / Kojic Acid / Niacinamide,Azelaic acid + kojic acid + niacinamide,FRM-058,topical cream,topical,cream,15%/4%/4%,45gm,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A93:J93,Dermatology - Topical,75.0,82.5,67.5,60,52.5,52.5,45,37.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0089,MED-043,Pain Cream,Active ingredients unspecified,FRM-059,topical pain cream,topical,cream,<59 grams,<59gm,-,composition unspecified — OPEN — PHARMACY,"",Eden Pharmacy,SRC-003:Formulary Pricing!A94:J94,Dermatology - Topical,55.0,60.5,49.5,44,38.5,38.5,33,27.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0090,MED-043,Pain Cream,Active ingredients unspecified,FRM-059,topical pain cream,topical,cream,call for info,>60gm,-,composition unspecified — OPEN — PHARMACY,"",Eden Pharmacy,SRC-003:Formulary Pricing!A95:J95,Dermatology - Topical,78.0,85.8,70.2,62.4,54.6,54.6,46.8,39,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0091,MED-044,Tretinoin,Tretinoin,FRM-060,topical preparation in anhydrous base,topical,topical preparation,0.025%-0.1%,"15, 30 or 45gm",-,anhydrous base,"",Eden Pharmacy,SRC-003:Formulary Pricing!A96:J96,Dermatology - Topical,55.0,60.5,49.5,44,38.5,38.5,33,27.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0092,MED-045,Hydroquinone,Hydroquinone,FRM-061,topical preparation in anhydrous base,topical,topical preparation,4-10%,45gm,-,anhydrous base,"",Eden Pharmacy,SRC-003:Formulary Pricing!A97:J97,Dermatology - Topical,55.0,60.5,49.5,44,38.5,38.5,33,27.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0093,MED-046,Finasteride / Minoxidil,Finasteride + minoxidil,FRM-062,topical foam,topical,foam,-,-,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A98:J98,Hair Restoration - Topical,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0094,MED-047,Finasteride / Minoxidil / Latanoprost,Finasteride + minoxidil + latanoprost,FRM-063,topical foam,topical,foam,0.25%/10%/0.1%,30 Days,-,"",30,Eden Pharmacy,SRC-003:Formulary Pricing!A99:J99,Hair Restoration - Topical,225.0,247.5,202.5,180,157.5,157.5,135,112.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0095,MED-048,Dutasteride,Dutasteride,FRM-064,topical solution,topical,solution,0.05%,15ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A100:J100,Hair Restoration - Topical,118.0,129.8,106.2,94.4,82.6,82.6,70.8,59,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0096,MED-049,Minoxidil,Minoxidil,FRM-065,topical cream,topical,cream,5%-10%,-,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A102:J102,Hair Restoration - Topical,50.0,55,45,40,35,35,30,25,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0097,MED-049,Minoxidil,Minoxidil,FRM-066,oral capsule,oral,capsule,1mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A103:J103,Hair Restoration - Oral,1.0,1.1,0.9,0.8,0.7,0.7,0.6,0.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0098,MED-049,Minoxidil,Minoxidil,FRM-066,oral capsule,oral,capsule,2.5mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A104:J104,Hair Restoration - Oral,1.45,1.595,1.305,1.16,1.015,1.015,0.87,0.725,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0099,MED-049,Minoxidil,Minoxidil,FRM-067,troche,oral/transmucosal — OPEN — PHARMACY,troche,0.25mg - 1mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A105:J105,Hair Restoration - Oral,1.0,1.1,0.9,0.8,0.7,0.7,0.6,0.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0100,MED-050,Minoxidil / Finasteride,Minoxidil + finasteride,FRM-068,oral capsule,oral,capsule,call for info,call for info,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A106:J106,Hair Restoration - Oral,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0101,MED-050,Minoxidil / Finasteride,Minoxidil + finasteride,FRM-069,troche,oral/transmucosal — OPEN — PHARMACY,troche,call for info,call for info,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A107:J107,Hair Restoration - Oral,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
